Type,Generation,Group,Result,Count,Death,Kill
C,1,B,Lose,8,4,1
C,1,B,Win,9,2,4
C,1,B,Win,10,1,4
C,1,C,Lose,1,4,0
C,1,C,Lose,2,4,3
C,1,C,Lose,3,4,2
C,1,C,Win,4,2,4
C,1,C,Lose,5,4,2
C,1,C,Lose,6,4,1
C,1,C,Lose,7,4,0
C,1,C,Lose,8,4,2
C,1,C,Win,9,1,4
C,1,C,Lose,10,4,1
C,1,D,Lose,1,4,1
C,1,D,Win,2,0,4
C,1,D,Lose,3,4,1
C,1,D,Win,4,3,4
C,1,D,Lose,5,4,0
C,1,D,Lose,6,4,1
C,1,D,Win,7,3,4
C,1,D,Win,8,0,4
C,1,D,Win,9,2,4
C,1,D,Lose,10,4,3
C,1,E,Lose,1,4,2
C,1,E,Lose,2,4,0
C,1,E,Lose,3,4,1
C,1,E,Lose,4,4,1
C,1,E,Win,5,2,4
C,1,E,Lose,6,4,0
C,1,E,Win,7,1,4
C,1,E,Win,8,1,4
C,1,E,Lose,9,4,2
C,1,E,Lose,10,4,3
C,2,A,Win,1,1,4
C,2,A,Win,2,0,4
C,2,A,Win,3,2,4
C,2,A,Win,4,1,4
C,2,A,Win,5,1,4
C,2,A,Win,6,1,4
C,2,A,Win,7,1,4
C,2,A,Win,8,1,4
C,2,A,Win,9,0,4
C,2,A,Win,10,3,4
C,2,B,Lose,1,4,0
C,2,B,Lose,2,4,0
C,2,B,Lose,3,4,0
C,2,B,Lose,4,4,0
C,2,B,Lose,5,4,0
C,2,B,Lose,6,4,0
C,2,B,Lose,7,4,0
C,2,B,Lose,8,4,0
C,2,B,Lose,9,4,0
C,2,B,Lose,10,4,0
C,2,C,Lose,1,4,2
C,2,C,Win,2,1,4
C,2,C,Win,3,2,4
C,2,C,Win,4,3,4
C,2,C,Lose,5,4,0
C,2,C,Win,6,2,4
C,2,C,Win,7,1,4
C,2,C,Lose,8,4,2
C,2,C,Win,9,1,4
C,2,C,Lose,10,4,0
